1,A. POM,1.4 – 2.4,2.6 – 3.3,3.8 – 4.2
2,A. POM,1.4 – 2.4,2.8 – 3.2,3.9 – 4.4
3,A. POM,0.8 – 2.9,2.2 – 3.6,3.2 – 4.6
4,A. POM,0.8 – 2.9,2.1 – 3.9,3.4 – 4.7
5,A. POM,2 – 3.1,3.0 – 3.8 ,3.9 – 4.4
6,A. POM,1.9 – 4.0,2.9 – 3.9,3.9 – 4.2
1,B. Primary Consumer,–,2.5 – 3.4,3.7 – 4.3
2,B. Primary Consumer,–,2.7 – 3.3,3.8 – 4.2
3,B. Primary Consumer,–,2.5 – 3.4,3.5 – 4.3
4,B. Primary Consumer,–,2.4 – 3.6,3.7 – 4.5
5,B. Primary Consumer,–,3.1 – 4.1,4.0 – 4.7
6,B. Primary Consumer,–,2.9 – 4.0,3.9 – 4.3
